model,n_estimators,max_samples,n_neighbors,nu,gamma,threshold_percentile,threshold,pred_normal,pred_anomaly,precision,recall,f1,auroc,auprc
OneClassSVM,,,,0.03,scale,5,0.16027681923966952,4478,632,0.884493670886076,0.6759371221281741,0.7662782727895819,0.8714512339072304,0.7608349870050519
OneClassSVM,,,,0.05,scale,5,0.24068623876243578,4467,643,0.8755832037325039,0.6807738814993954,0.7659863945578231,0.8751251044242571,0.765228798321386
OneClassSVM,,,,0.05,scale,3,0.21889847058178305,4479,631,0.884310618066561,0.6747279322853688,0.7654320987654321,0.8751251044242571,0.765228798321386
OneClassSVM,,,,0.1,scale,3,0.38068673794132907,4479,631,0.884310618066561,0.6747279322853688,0.7654320987654321,0.8776581072889895,0.7673929867020243
LocalOutlierFactor,,,10.0,,,3,-8.280678749084473,3849,1261,0.6328310864393338,0.9649334945586457,0.764367816091954,0.9570806774963927,0.9082543668080075
OneClassSVM,,,,0.03,scale,3,0.14707775347961344,4484,626,0.8849840255591054,0.6698911729141476,0.7625602202339986,0.8714512339072304,0.7608349870050519
OneClassSVM,,,,0.05,scale,7,0.2566993264820326,4436,674,0.8471810089020771,0.6904474002418379,0.7608261159227182,0.8751251044242571,0.765228798321386
OneClassSVM,,,,0.1,scale,5,0.424402599590735,4452,658,0.8571428571428571,0.6819830713422007,0.7595959595959596,0.8776581072889895,0.7673929867020243
OneClassSVM,,,,0.05,0.1,3,-0.05720941089121183,3753,1357,0.6094325718496684,1.0,0.7573260073260073,0.9971846740339823,0.9768223092254805
OneClassSVM,,,,0.03,scale,10,0.18312797251201118,4405,705,0.8184397163120567,0.6977025392986699,0.7532637075718016,0.8714512339072304,0.7608349870050519
OneClassSVM,,,,0.1,scale,7,0.45794215895741386,4418,692,0.8265895953757225,0.6916565900846433,0.7531270572745227,0.8776581072889895,0.7673929867020243
OneClassSVM,,,,0.03,0.01,7,0.10478693924839107,4491,619,0.8788368336025848,0.6577992744860943,0.7524204702627939,0.8527241779527679,0.7352673904734515
OneClassSVM,,,,0.05,scale,10,0.2785496117522541,4378,732,0.796448087431694,0.7049576783555018,0.7479153303399615,0.8751251044242571,0.765228798321386
OneClassSVM,,,,0.1,scale,1,0.2949338568876754,4505,605,0.8842975206611571,0.6469165659008465,0.7472067039106145,0.8776581072889895,0.7673929867020243
OneClassSVM,,,,0.05,scale,1,0.18002748455095627,4508,602,0.8853820598006644,0.6444981862152358,0.7459762071378586,0.8751251044242571,0.765228798321386
OneClassSVM,,,,0.01,0.1,3,-0.004932904963321683,3719,1391,0.5945363048166786,1.0,0.7457168620378719,0.9971406316301815,0.9761460835645259
OneClassSVM,,,,0.03,0.01,5,0.09867325346227673,4503,607,0.8797364085667215,0.6457073760580411,0.7447698744769874,0.8527241779527679,0.7352673904734515
OneClassSVM,,,,0.01,scale,5,0.07119190285387234,4497,613,0.8743882544861338,0.6481257557436517,0.7444444444444445,0.86720989395662,0.7488696465327654
OneClassSVM,,,,0.1,0.1,3,-0.13683416324704006,3709,1401,0.5902926481084939,1.0,0.7423698384201077,0.997184674033982,0.976822306558048
OneClassSVM,,,,0.03,0.01,3,0.09117132382034185,4508,602,0.8803986710963455,0.6408706166868199,0.741777466759972,0.8527241779527679,0.7352673904734515
OneClassSVM,,,,0.03,0.1,3,-0.026523676235606163,3707,1403,0.5894511760513186,1.0,0.7417040358744394,0.9971846740339821,0.9768223061690084
OneClassSVM,,,,0.01,0.01,7,0.043726738834543075,4499,611,0.8723404255319149,0.6444981862152358,0.741307371349096,0.8566004741334163,0.7326578203096838
OneClassSVM,,,,0.05,0.01,3,0.12632462301108022,4511,599,0.8814691151919867,0.6384522370012092,0.7405329593267882,0.8549082294643117,0.7355360912280496
OneClassSVM,,,,0.03,0.01,10,0.11247827439474634,4438,672,0.8258928571428571,0.6711003627569528,0.7404936624416277,0.8527241779527679,0.7352673904734515
