method,augmentation_family,seed,normal_train_used,real_anomaly_seed_used,generated_anomaly_used,total_anomaly_train_used,normal_to_anomaly_ratio,threshold,validation_precision,validation_recall,validation_f1,precision,recall,f1,f2,auroc,auprc,pred_anomaly,false_negative,false_positive
Masking Diffusion,generative,105,5000,247,1000,1247,4.0096230954290295,0.8699999999999999,0.9105691056910569,0.6829268292682927,0.7804878048780488,0.9377593360995851,0.7635135135135135,0.8417132216014898,0.7929824561403509,0.9911822504730943,0.9406018613450444,241,70,15
Filtered@750 Masking Diffusion,generative_filtered,105,5000,247,750,997,5.015045135406218,0.8899999999999999,0.954954954954955,0.6463414634146342,0.7709090909090909,0.9754901960784313,0.6722972972972973,0.796,0.7168587896253602,0.9889744771701684,0.9232558197766773,204,97,5
Original only,none,106,5000,247,0,247,20.242914979757085,0.8899999999999999,0.746268656716418,0.6097560975609756,0.6711409395973155,0.8225108225108225,0.6418918918918919,0.7210626185958254,0.6713780918727915,0.9634577126498132,0.8152630378204309,231,106,41
Magnitude warping,traditional,106,5000,247,1000,1247,4.0096230954290295,0.83,0.9586776859504132,0.7073170731707317,0.8140350877192982,0.9670781893004116,0.793918918918919,0.8719851576994434,0.8234057463209531,0.9967053229171721,0.9732725680884992,243,61,8
Masking Diffusion,generative,106,5000,247,1000,1247,4.0096230954290295,0.8699999999999999,0.9821428571428571,0.6707317073170732,0.7971014492753623,0.9911504424778761,0.7567567567567568,0.8582375478927203,0.7943262411347518,0.9929278470571109,0.9591202243848362,226,72,2
Filtered@750 Masking Diffusion,generative_filtered,106,5000,247,750,997,5.015045135406218,0.8499999999999999,0.8484848484848485,0.6829268292682927,0.7567567567567568,0.9076923076923077,0.7972972972972973,0.8489208633093526,0.817174515235457,0.9919319229462855,0.9432465370033545,260,60,24
Original only,none,107,5000,247,0,247,20.242914979757085,0.8899999999999999,0.6933333333333334,0.6341463414634146,0.6624203821656051,0.732824427480916,0.6486486486486487,0.6881720430107527,0.6639004149377593,0.957577999902955,0.7834861627853317,262,104,70
Magnitude warping,traditional,107,5000,247,1000,1247,4.0096230954290295,0.82,0.921875,0.7195121951219512,0.8082191780821918,0.9057971014492754,0.8445945945945946,0.8741258741258742,0.8561643835616438,0.9919586103158813,0.9368799078911161,276,46,26
Masking Diffusion,generative,107,5000,247,1000,1247,4.0096230954290295,0.8699999999999999,0.8854961832061069,0.7073170731707317,0.7864406779661017,0.905511811023622,0.777027027027027,0.8363636363636363,0.799721835883171,0.9894876025037604,0.9256328224146495,254,66,24
Filtered@750 Masking Diffusion,generative_filtered,107,5000,247,750,997,5.015045135406218,0.8699999999999999,0.8409090909090909,0.676829268292683,0.75,0.8588709677419355,0.7195945945945946,0.7830882352941176,0.7437150837988827,0.9841343587752923,0.89338164231814,248,83,35
Original only,none,108,5000,247,0,247,20.242914979757085,0.8899999999999999,0.695364238410596,0.6402439024390244,0.6666666666666666,0.6971830985915493,0.668918918918919,0.6827586206896552,0.6743869209809265,0.952925906157504,0.747329516245684,284,98,86
Magnitude warping,traditional,108,5000,247,1000,1247,4.0096230954290295,0.8099999999999999,0.8661971830985915,0.75,0.803921568627451,0.8322368421052632,0.8547297297297297,0.8433333333333334,0.8501344086021505,0.991088844679509,0.9208125068318589,304,43,51
Masking Diffusion,generative,108,5000,247,1000,1247,4.0096230954290295,0.8599999999999999,0.889763779527559,0.6890243902439024,0.7766323024054983,0.8592057761732852,0.8040540540540541,0.8307155322862129,0.8145106091718002,0.9865289436653888,0.9091203689870144,277,58,39
Filtered@750 Masking Diffusion,generative_filtered,108,5000,247,750,997,5.015045135406218,0.8499999999999999,0.8467153284671532,0.7073170731707317,0.770764119601329,0.788961038961039,0.8209459459459459,0.804635761589404,0.814343163538874,0.9841016060944248,0.8871582669342252,308,53,65
Original only,none,109,5000,247,0,247,20.242914979757085,0.9299999999999999,0.9347826086956522,0.524390243902439,0.671875,0.971830985915493,0.46621621621621623,0.6301369863013698,0.5203619909502263,0.957745402494056,0.7945780609735656,142,158,4
Magnitude warping,traditional,109,5000,247,1000,1247,4.0096230954290295,0.83,0.9661016949152542,0.6951219512195121,0.8085106382978723,0.97165991902834,0.8108108108108109,0.8839779005524862,0.8385744234800838,0.9956123538259983,0.9688889764901258,247,56,7
Masking Diffusion,generative,109,5000,247,1000,1247,4.0096230954290295,0.8899999999999999,0.963963963963964,0.6524390243902439,0.7781818181818182,0.9951690821256038,0.6959459459459459,0.8190854870775348,0.7404744787922358,0.9907685962443593,0.9444363561580001,207,90,1
Filtered@750 Masking Diffusion,generative_filtered,109,5000,247,750,997,5.015045135406218,0.8599999999999999,0.9173553719008265,0.676829268292683,0.7789473684210526,0.952,0.8040540540540541,0.8717948717948718,0.8298465829846583,0.9916068222621186,0.9470315828192248,250,58,12
Original only,none,110,5000,247,0,247,20.242914979757085,0.8999999999999999,0.8181818181818182,0.6036585365853658,0.6947368421052632,0.8301886792452831,0.5945945945945946,0.6929133858267716,0.6303724928366762,0.962158522975399,0.7997810257230966,212,120,36
Magnitude warping,traditional,110,5000,247,1000,1247,4.0096230954290295,0.83,0.9911504424778761,0.6829268292682927,0.8086642599277978,0.9834710743801653,0.8040540540540541,0.8847583643122676,0.8345021037868162,0.9963341258673395,0.9710290473261359,242,58,4
Masking Diffusion,generative,110,5000,247,1000,1247,4.0096230954290295,0.8699999999999999,0.875,0.6829268292682927,0.7671232876712328,0.9057377049180327,0.7466216216216216,0.8185185185185185,0.7738095238095238,0.9882915231209666,0.9179146124658111,244,75,23
Filtered@750 Masking Diffusion,generative_filtered,110,5000,247,750,997,5.015045135406218,0.8799999999999999,0.9173553719008265,0.676829268292683,0.7789473684210526,0.8898678414096917,0.6824324324324325,0.7724665391969407,0.7158043940467753,0.9873890048037266,0.9142504269354267,227,94,25
Original only,none,111,5000,247,0,247,20.242914979757085,0.9299999999999999,0.8653846153846154,0.5487804878048781,0.6716417910447762,0.9548387096774194,0.5,0.656319290465632,0.5526512322628827,0.9570054345188994,0.789764463947505,155,148,7
Magnitude warping,traditional,111,5000,247,1000,1247,4.0096230954290295,0.83,0.9590163934426229,0.7134146341463414,0.8181818181818182,0.9713114754098361,0.8006756756756757,0.8777777777777778,0.8298319327731093,0.9931522635741666,0.9546438774933108,244,59,7
