method,augmentation_family,seed,normal_train_used,real_anomaly_seed_used,generated_anomaly_used,total_anomaly_train_used,normal_to_anomaly_ratio,threshold,validation_precision,validation_recall,validation_f1,precision,recall,f1,f2,auroc,auprc,pred_anomaly,false_negative,false_positive,anomaly_seed_count
Original only,none,200,5000,150,0,150,33.333333333333336,0.7999999999999999,0.5705128205128205,0.5426829268292683,0.55625,0.5408805031446541,0.581081081081081,0.5602605863192183,0.5725699067909454,0.9169404143820662,0.6311964146560706,318,124,146,150
Magnitude warping,traditional,200,5000,150,1000,1150,4.3478260869565215,0.72,0.8549618320610687,0.6829268292682927,0.7593220338983051,0.851145038167939,0.7533783783783784,0.7992831541218638,0.7710926694329184,0.9683148139162501,0.8723771941489237,262,73,39,150
Filtered@750 Masking Diffusion,generative_filtered,200,5000,150,750,900,5.555555555555555,0.82,0.8728813559322034,0.6280487804878049,0.7304964539007093,0.8026315789473685,0.6182432432432432,0.6984732824427481,0.6480169971671388,0.9541729341549808,0.7935919985292108,228,113,45,150
Original only,none,201,5000,150,0,150,33.333333333333336,0.84,0.6,0.5487804878048781,0.5732484076433121,0.5423728813559322,0.5405405405405406,0.5414551607445008,0.5409060175794456,0.9062254354893493,0.5741867350090201,295,136,135,150
Magnitude warping,traditional,201,5000,150,1000,1150,4.3478260869565215,0.72,0.8322147651006712,0.7560975609756098,0.792332268370607,0.756578947368421,0.777027027027027,0.7666666666666667,0.7728494623655914,0.9599956329758843,0.8229360338485416,304,66,74,150
Filtered@750 Masking Diffusion,generative_filtered,201,5000,150,750,900,5.555555555555555,0.7899999999999999,0.756578947368421,0.7012195121951219,0.7278481012658228,0.6875,0.706081081081081,0.6966666666666667,0.7022849462365591,0.9521568246882429,0.7764239562147154,304,87,95,150
Original only,none,202,5000,150,0,150,33.333333333333336,0.83,0.6397058823529411,0.5304878048780488,0.58,0.6346863468634686,0.581081081081081,0.6067019400352733,0.5910652920962199,0.9177640836527732,0.6610707964014847,271,124,99,150
Magnitude warping,traditional,202,5000,150,1000,1150,4.3478260869565215,0.73,0.9516129032258065,0.7195121951219512,0.8194444444444444,0.9395161290322581,0.7871621621621622,0.8566176470588235,0.8135474860335196,0.9664491241690524,0.884696462341449,248,63,15,150
Filtered@750 Masking Diffusion,generative_filtered,202,5000,150,750,900,5.555555555555555,0.7899999999999999,0.8666666666666667,0.7134146341463414,0.782608695652174,0.8444444444444444,0.7702702702702703,0.8056537102473498,0.7840440165061898,0.9616769372604201,0.860491779793317,270,68,42,150
Original only,none,203,5000,150,0,150,33.333333333333336,0.8599999999999999,0.7692307692307693,0.4268292682926829,0.5490196078431373,0.7823529411764706,0.44932432432432434,0.5708154506437768,0.4911373707533235,0.9266000291134942,0.6767903263350346,170,163,37,150
Magnitude warping,traditional,203,5000,150,1000,1150,4.3478260869565215,0.73,0.9047619047619048,0.6951219512195121,0.7862068965517242,0.868421052631579,0.7804054054054054,0.8220640569395018,0.7965517241379311,0.9783783783783784,0.89721685062268,266,65,35,150
Filtered@750 Masking Diffusion,generative_filtered,203,5000,150,750,900,5.555555555555555,0.8099999999999999,0.8559322033898306,0.6158536585365854,0.7163120567375887,0.8528138528138528,0.6655405405405406,0.7476280834914611,0.696113074204947,0.9682480954922607,0.8528611858816559,231,99,34,150
Original only,none,204,5000,150,0,150,33.333333333333336,0.8699999999999999,0.8765432098765432,0.4329268292682927,0.5795918367346938,0.8489208633093526,0.39864864864864863,0.542528735632184,0.4459561602418745,0.9136360328012033,0.650123002181508,139,178,21,150
Magnitude warping,traditional,204,5000,150,1000,1150,4.3478260869565215,0.72,0.9435483870967742,0.7134146341463414,0.8125,0.9126984126984127,0.777027027027027,0.8394160583941606,0.8008356545961003,0.969366538890776,0.8917445335645153,252,66,22,150
Filtered@750 Masking Diffusion,generative_filtered,204,5000,150,750,900,5.555555555555555,0.7899999999999999,0.828125,0.6463414634146342,0.726027397260274,0.8232931726907631,0.6925675675675675,0.7522935779816514,0.7152826238660154,0.9617084768790336,0.8330955640206993,249,91,44,150
Original only,none,200,5000,247,0,247,20.242914979757085,0.8899999999999999,0.6751592356687898,0.6463414634146342,0.660436137071651,0.7578125,0.6554054054054054,0.7028985507246377,0.6736111111111112,0.9590312484836722,0.7936783188555684,256,102,62,247
Magnitude warping,traditional,200,5000,247,1000,1247,4.0096230954290295,0.83,0.9069767441860465,0.7134146341463414,0.7986348122866894,0.9176470588235294,0.7905405405405406,0.8493647912885662,0.8130646282140376,0.9920714251055364,0.942661021889263,255,62,21,247
Filtered@750 Masking Diffusion,generative_filtered,200,5000,247,750,997,5.015045135406218,0.8499999999999999,0.841726618705036,0.7134146341463414,0.7722772277227723,0.8310344827586207,0.8141891891891891,0.8225255972696246,0.8175033921302578,0.9886493764860014,0.9124741888266175,290,55,49,247
Original only,none,201,5000,247,0,247,20.242914979757085,0.8899999999999999,0.6708074534161491,0.6585365853658537,0.6646153846153846,0.7106227106227107,0.6554054054054054,0.6818980667838312,0.665751544269046,0.9582973458197874,0.7851062057265308,273,102,79,247
Magnitude warping,traditional,201,5000,247,1000,1247,4.0096230954290295,0.84,0.8846153846153846,0.7012195121951219,0.782312925170068,0.9190283400809717,0.7668918918918919,0.8360957642725598,0.793151642208246,0.9923625600465816,0.9398827805521751,247,69,20,247
Filtered@750 Masking Diffusion,generative_filtered,201,5000,247,750,997,5.015045135406218,0.8799999999999999,0.8692307692307693,0.6890243902439024,0.7687074829931972,0.8360655737704918,0.6891891891891891,0.7555555555555555,0.7142857142857143,0.9809051870541996,0.8467733014978637,244,92,40,247
Original only,none,202,5000,247,0,247,20.242914979757085,0.9099999999999999,0.868421052631579,0.6036585365853658,0.7122302158273381,0.9157894736842105,0.5878378378378378,0.7160493827160493,0.6331877729257642,0.9570236304527149,0.7999673651657506,190,122,16,247
Magnitude warping,traditional,202,5000,247,1000,1247,4.0096230954290295,0.84,1.0,0.676829268292683,0.8072727272727273,0.9908256880733946,0.7297297297297297,0.8404669260700389,0.7703281027104137,0.9921903052064631,0.9483484058971786,218,80,2,247
Filtered@750 Masking Diffusion,generative_filtered,202,5000,247,750,997,5.015045135406218,0.8599999999999999,0.9133858267716536,0.7073170731707317,0.7972508591065293,0.9385245901639344,0.7736486486486487,0.8481481481481481,0.8018207282913166,0.988583871124266,0.9257729615974658,244,67,15,247
Original only,none,203,5000,247,0,247,20.242914979757085,0.8999999999999999,0.7123287671232876,0.6341463414634146,0.6709677419354839,0.7663934426229508,0.6317567567567568,0.6925925925925925,0.6547619047619048,0.9563285457809695,0.7855149175738939,244,109,57,247
Magnitude warping,traditional,203,5000,247,1000,1247,4.0096230954290295,0.83,0.9126984126984127,0.7012195121951219,0.7931034482758621,0.921875,0.7972972972972973,0.855072463768116,0.8194444444444444,0.9947110485710127,0.9588433935691428,256,60,20,247
Filtered@750 Masking Diffusion,generative_filtered,203,5000,247,750,997,5.015045135406218,0.8799999999999999,0.9363636363636364,0.6280487804878049,0.7518248175182481,0.9223744292237442,0.6824324324324325,0.7844660194174757,0.7198859586600143,0.9875369983987579,0.9173130138210861,219,94,17,247
Original only,none,204,5000,247,0,247,20.242914979757085,0.8999999999999999,0.8695652173913043,0.6097560975609756,0.7168458781362007,0.8591549295774648,0.6182432432432432,0.7190569744597249,0.654974946313529,0.9601909359988355,0.8065547072373102,213,113,30,247
Magnitude warping,traditional,204,5000,247,1000,1247,4.0096230954290295,0.82,0.921875,0.7195121951219512,0.8082191780821918,0.9435483870967742,0.7905405405405406,0.8602941176470589,0.8170391061452514,0.9943665388907759,0.9560469933603651,248,62,14,247
Filtered@750 Masking Diffusion,generative_filtered,204,5000,247,750,997,5.015045135406218,0.8499999999999999,0.8646616541353384,0.7012195121951219,0.7744107744107744,0.9076923076923077,0.7972972972972973,0.8489208633093526,0.817174515235457,0.9906715512640109,0.9337101992436472,260,60,24,247
