method,augmentation_family,seed,generated_anomaly_used,threshold,validation_precision,validation_recall,validation_f1,precision,recall,f1,f2,auprc,false_negative,false_positive
Original only,none,42,0,0.9299999999999999,0.9879518072289156,0.5,0.6639676113360324,0.9708029197080292,0.44932432432432434,0.6143187066974596,0.5034065102195306,0.8099188711307705,163,4
Original only,none,42,0,0.94,1.0,0.43902439024390244,0.6101694915254238,0.9814814814814815,0.3581081081081081,0.5247524752475248,0.4102167182662539,0.8099188711307705,190,2
Original only,none,42,0,0.95,1.0,0.3780487804878049,0.5486725663716814,1.0,0.28716216216216217,0.4461942257217848,0.33490937746256894,0.8099188711307705,211,0
Magnitude warping,traditional,42,1000,0.05,0.18700114025085518,1.0,0.3150816522574448,0.12066856909906237,1.0,0.21535103674063297,0.40692878746219413,0.9632867420814195,0,2157
Magnitude warping,traditional,42,1000,0.06,0.1920374707259953,1.0,0.32220039292730845,0.12426532325776658,1.0,0.2210604929051531,0.41503084688726866,0.9632867420814195,0,2086
Magnitude warping,traditional,42,1000,0.07,0.19640718562874251,1.0,0.3283283283283283,0.12622601279317697,1.0,0.22415751609238924,0.4193822612638141,0.9632867420814195,0,2049
Magnitude warping,traditional,42,1000,0.08,0.200734394124847,1.0,0.3343527013251784,0.1288076588337685,1.0,0.228218966846569,0.4250430786904078,0.9632867420814195,0,2002
Magnitude warping,traditional,42,1000,0.09,0.20398009950248755,1.0,0.33884297520661155,0.13285457809694792,1.0,0.23454833597464342,0.43376318874560377,0.9632867420814195,0,1932
Magnitude warping,traditional,42,1000,0.09999999999999999,0.20733249051833122,1.0,0.34345549738219894,0.13509812870835236,1.0,0.2380377965420185,0.43851851851851853,0.9632867420814195,0,1895
Magnitude warping,traditional,42,1000,0.10999999999999999,0.21216041397153945,1.0,0.35005336179295626,0.1371640407784986,1.0,0.24123879380603097,0.4428485936564931,0.9632867420814195,0,1862
Magnitude warping,traditional,42,1000,0.12,0.21578947368421053,1.0,0.354978354978355,0.13942534149788036,1.0,0.24472922695328647,0.44753553069247054,0.9632867420814195,0,1827
Magnitude warping,traditional,42,1000,0.13,0.2210242587601078,1.0,0.3620309050772627,0.14189837008628955,1.0,0.24853064651553317,0.4525993883792049,0.9632867420814195,0,1790
Magnitude warping,traditional,42,1000,0.13999999999999999,0.22312925170068026,1.0,0.36484983314794217,0.14417924987822697,1.0,0.25202213707960835,0.457213469261662,0.9632867420814195,0,1757
Magnitude warping,traditional,42,1000,0.14999999999999997,0.22589531680440772,1.0,0.3685393258426966,0.14660723130262507,1.0,0.2557235421166307,0.4620668123634093,0.9632867420814195,0,1723
Magnitude warping,traditional,42,1000,0.15999999999999998,0.22873082287308227,1.0,0.37230419977298523,0.1486690105474636,1.0,0.2588543944031482,0.46614173228346456,0.9632867420814195,0,1695
Magnitude warping,traditional,42,1000,0.16999999999999998,0.23066104078762306,1.0,0.37485714285714283,0.1500253421186011,1.0,0.2609078889378581,0.46879949318973707,0.9632867420814195,0,1677
Magnitude warping,traditional,42,1000,0.18,0.23295454545454544,1.0,0.3778801843317972,0.15187275525910723,1.0,0.26369710467706015,0.4723906798595595,0.9632867420814195,0,1653
Magnitude warping,traditional,42,1000,0.19,0.23733719247467439,1.0,0.38362573099415204,0.1532884515794925,1.0,0.265828468792097,0.4751203852327448,0.9632867420814195,0,1635
Magnitude warping,traditional,42,1000,0.19999999999999996,0.23941605839416058,1.0,0.38633686690223795,0.15456919060052218,1.0,0.2677521483491633,0.47757341077767024,0.9632867420814195,0,1619
Magnitude warping,traditional,42,1000,0.20999999999999996,0.2436849925705795,1.0,0.3918757467144564,0.1565309360126917,1.0,0.2706904435299497,0.4813008130081301,0.9632867420814195,0,1595
Magnitude warping,traditional,42,1000,0.21999999999999997,0.24773413897280966,1.0,0.39709443099273606,0.15786666666666666,1.0,0.27268539843390144,0.4838182412553122,0.9632867420814195,0,1579
Magnitude warping,traditional,42,1000,0.22999999999999998,0.25386996904024767,1.0,0.4049382716049383,0.15965480043149946,1.0,0.2753488372093023,0.4871626069782752,0.9632867420814195,0,1558
Magnitude warping,traditional,42,1000,0.24,0.2566510172143975,1.0,0.40846824408468246,0.1628162816281628,1.0,0.2800378429517502,0.49300466355762823,0.9632867420814195,0,1522
Magnitude warping,traditional,42,1000,0.24999999999999994,0.26198083067092653,1.0,0.4151898734177215,0.16435313714602998,1.0,0.28230805913209345,0.49581239530988275,0.9632867420814195,0,1505
Magnitude warping,traditional,42,1000,0.25999999999999995,0.26366559485530544,1.0,0.4173027989821883,0.1668545659526494,1.0,0.28599033816425123,0.5003380662609872,0.9632867420814195,0,1478
Magnitude warping,traditional,42,1000,0.26999999999999996,0.2662337662337662,1.0,0.4205128205128205,0.1689497716894977,1.0,0.2890625,0.5040871934604905,0.9632867420814195,0,1456
Magnitude warping,traditional,42,1000,0.27999999999999997,0.26929392446633826,1.0,0.4243208279430789,0.17219313554392088,1.0,0.29379652605459056,0.5098174302445746,0.9632867420814195,0,1423
Magnitude warping,traditional,42,1000,0.29,0.27424749163879597,1.0,0.4304461942257218,0.17442545668827342,1.0,0.2970396387355745,0.5137105171815342,0.9632867420814195,0,1401
Magnitude warping,traditional,42,1000,0.3,0.27843803056027167,1.0,0.4355909694555113,0.17777777777777778,1.0,0.3018867924528302,0.5194805194805194,0.9632867420814195,0,1369
Magnitude warping,traditional,42,1000,0.30999999999999994,0.28130360205831906,1.0,0.4390896921017403,0.18170656844689995,1.0,0.30753246753246755,0.526128688233203,0.9632867420814195,0,1333
Magnitude warping,traditional,42,1000,0.31999999999999995,0.2862129144851658,1.0,0.4450474898236092,0.18569636135508155,1.0,0.31322751322751324,0.5327573794096472,0.9632867420814195,0,1298
Magnitude warping,traditional,42,1000,0.32999999999999996,0.28975265017667845,1.0,0.44931506849315067,0.18937939859245043,1.0,0.31845077998924154,0.5387695668001456,0.9632867420814195,0,1267
